id,titulo,tid,ruta,fecha,dimensiones,lienzo,gramaje,precio,imagen,miniatura,descripcion
786001,Iglesia San Francisco Javier,57,plumillas/baleares/formentera/formentera/iglesia-san-francisco-javier,2016-10-16,13 x 13,"14,7 x 21,9",160 gr,35,/images/plumillas/formentera/iglesia-formentera.jpg,/images/plumillas/formentera/iglesia-formentera.jpg,"Dibujo a plumilla original, firmado y fechado en 2016, de tamaño 13 x 13 cm. sobre papel guarro de 160 gr. de 14,7 x 21,9 cm."
800001,Iglesia Santa María del Mar,104,plumillas/catalunya/barcelona/barcelona/santa-maria-del-mar,2012-09-07,15 x 20,"22,1 x 37",cart,60,/images/plumillas/barcelona/santa-maria-del-mar.jpg,/images/plumillas/barcelona/santa-maria-del-mar.jpg,"Dibujo a plumilla original, firmado y fechado en 2012, de tamaño 15 x 20 cm. sobre cartulina de 22,1x 37 cm."
800002,"Pasaje del obispo, Barrio Gótico",104,plumillas/catalunya/barcelona/barcelona/Pasaje-del-Obispo-Barrio-Gótico,2017-04-24,14 x 25,"21 x 29,7",160 gr,70,/images/plumillas/barcelona/pasaje_obispo..jpg,/images/plumillas/barcelona/pasaje_obispo..jpg,"Dibujo a plumilla original, firmado y fechado en 2017 de tamaño 14 x 25 cm. sobre papel guarro de 160 gr. de 21 x 29,7 cm."
875001,Ermita Sant Pere del Romaní,105,plumillas/catalunya/barcelona/molins-de-rei/ermita-san-pedro-romani,2009-03-09,15 x 14,"24,1 x 17,4",160 gr,40,/images/plumillas/molinsderei/ermita_sanpedro.jpg,/images/plumillas/molinsderei/ermita_sanpedro.jpg,"Dibujo a plumilla original, firmado y fechado en 2009, de tamaño 15 x 14 cm. sobre papel guarro de 160gr. De 24,1 x 17,4 cm."
900001,Monasterio de San Pedro de Cardeña,83,plumillas/castilla-leon/burgos/burgos/monasterio-san-pedro-cardena,2010-07-01,"24 x 15,5","29,6 x 20,9",160 gr,75,/images/plumillas/burgos/sanpedro_cardena.jpg,/images/plumillas/burgos/sanpedro_cardena.jpg,"Dibujo a plumilla original, firmado y fechado en 2010, de tamaño 24 x 15,5 cm. sobre papel guarro de 160 gr. de 29,6 x 20,9 cm."
900002,Iglesia de San Lesmes,83,plumillas/castilla-leon/burgos/burgos/san_lesmes,2009-03-02,30 x 26,"41,9 x 29,6",120 gr,150,/images/plumillas/burgos/san_lesmes.jpg,/images/plumillas/burgos/san_lesmes.jpg,"Dibujo a plumilla original, firmado y fechado en 2009 de tamaño 30 x 26 cm. sobre papel guarro de 120 gr. de 41,9 x 29,6 cm."
934601,Torre de San Juan,84,plumillas/castilla-leon/burgos/aranda-de-duero/torre-de-san-juan,2009-04-04,12 x 18,"17,5 x 24,1",120 gr,45,/images/plumillas/arandaduero/torre-sanjuan.jpg,/images/plumillas/arandaduero/torre-sanjuan.jpg,"Dibujo a plumilla original, firmado y fechado en 2009, de tamaño 21 x 28 cm. sobre papel guarro de 160 gr. de 20,9 x 29,2 cm."
940001,Torre de la Emparedada,85,plumillas/castilla-leon/burgos/covarrubias/torre-de-la-emparedada,2009-04-24,21 x 28,"20,9 x 29,7",160 gr,70,/images/plumillas/covarrubias/torre_emparedada.jpg,/images/plumillas/covarrubias/torre_emparedada.jpg,"Dibujo a plumilla original, firmado y fechado en 2009, de tamaño 21 x 28 cm. sobre papel guarro de 160 gr. de 20,4  x 29,2 cm."
940002,Claustro de la Colegiata,85,plumillas/castilla-leon/burgos/covarrubias/claustro-de-la-colegiata,2010-12-14,15 x 20,"20,8 x 29,6",120 gr,60,/images/plumillas/covarrubias/claustro.jpg,/images/plumillas/covarrubias/claustro_colegiata.jpg,"Dibujo a plumilla original, firmado y fechado en 2010, de tamaño 15 x 20 cm. sobre papel guarro de 120 gr. de 20,8 x 29,6 cm."
940003,Patio del Claustro de la Colegiata,85,plumillas/castilla-leon/burgos/covarrubias/patio-del-claustro-de-la-colegiata,2010-07-02,"18,8 x 14,8","29,6 x 21",120 gr,55,/images/plumillas/covarrubias/patio_claustro.jpg,/images/plumillas/covarrubias/patio_claustro.jpg,"Dibujo a plumilla original, firmado y fechado en 2010, de tamaño 18,8 x 14,8 cm. sobre papel guarro de 120 gr. de 29,6 x 21 cm."
940004,Torre de la Emparedada,85,plumillas/castilla-leon/burgos/covarrubias/torre-de-la-emparedada,2010-07-10,"15 x 18,2","21 x 29,6",120 gr,55,/images/plumillas/covarrubias/torre_emparedada1.jpg,/images/plumillas/covarrubias/torre-emparedada1.jpg,"Dibujo a plumilla original, firmado y fechado en 2010, de tamaño 15 x 18,2 cm. sobre papel guarro de 120 gr. de 21 x 29,6 cm."
941001,Plaza Mayor,87,plumillas/castilla-leon/burgos/penaranda-de-duero,2012-11-02,33 x 22,"41,9 x 29,6",120 gr,145,/images/plumillas/penaradaduero/plaza_mayor.jpg,/images/plumillas/penaradaduero/plaza_mayor.jpg,"Dibujo a plumilla original, firmado y fechado en 2012, de tamaño 33 x 22 cm. sobre papel guarro de 120 gr. de 41,9 x 29,6 cm."
955901,San Pedro de Tejada,86,plumillas/castilla-leon/burgos/merindad-de-valdivieso,2016-05-03,"32,2 x 22,4","40,2 x 29,6",90 gr,145,/images/plumillas/merindadvaldivieso/sanpedro_tejada.jpg,/images/plumillas/merindadvaldivieso/sanpedro_tejada.jpg,"Dibujo a plumilla original, firmado y fechado en 2016, de tamaño 32,2 x 22,4 cm. sobre papel guarro de 90gr. De 40,2 x 29,6 cm."
961001,Patio y Claustro del Monasterio de Silos,88,plumillas/castilla-leon/burgos/santo-domingo-silos,2011-09-01,15 x 18,"20,9 x 29,6",120 gr,55,/images/plumillas/santodomingosilos/claustro_silos.jpg,/images/plumillas/santodomingosilos/claustro_silos.jpg,"Dibujo a plumilla original, firmado y fechado en 2011, de tamaño 15 x 18 cm. sobre papel guarro de 120 gr. de 21 x 29,6 cm."
1000001,Plaza Mayor de Cáceres,113,plumillas/extremadura/caceres/caceres/plaza-mayor,2015-11-11,"35,1 X 18,2","40,2 X 29,6",90 gr,155,/images/plumillas/caceres/plaza-mayor-caceres.jpg,/images/plumillas/caceres/plaza-mayor-caceres.jpg,"Dibujo a plumilla original, firmado y fechado en 2015 de tamaño 35,1 x 18,2 cm. sobre papel guarro de 90gr. De 40,2 x 29,6 cm."
1014002,Fachada principal Monasterio de Guadalupe,114,plumillas/extremadura/caceres/guadalupe/monasterio-guadalupe,2020-08-01,"21 x 16,6","28,2 x 21",160 gr,,/images/plumillas/guadalupe/monasterio-guadalupe.jpg,/images/plumillas/guadalupe/monasterio-guadalupe.jpg,"Dibujo a plumilla original, firmado y fechado en 2020, de tamaño 21 x 16,6 cm. sobre papel guarro de 160 gr. De 28,2 x 21cm."
